Contig	Assembly_with_MEGAHIT/fw0 Mean	Assembly_with_MEGAHIT/fw1 Mean
k141_4310	0	4.8347387
k141_8655	162.59177	695.5768
k141_12948	16219.187	24658.32
k141_19369	18.406015	306.3609
k141_8657	45.70552	514.00616
k141_12949	39.57915	462.2278
k141_19371	20.954199	92.419846
k141_15088	19.63074	57.81637
k141_8660	176.79445	1037.1666
k141_8661	18.770641	132.68808
k141_19372	1.5097613	43.38395
k141_15089	80.93033	452.28894
k141_4312	0	2.8704414
k141_12955	1943.9338	3133.8604
k141_8662	4338.12	7092.616
k141_19373	34.711765	269.2706
k141_15091	17.980488	79.278046
k141_4313	41.15088	616.3649
k141_12957	32.590908	272.57574
k141_8663	368.55737	662.0984
k141_19375	33.74648	519.6761
k141_15092	353.6919	648.6973
k141_19376	4.489362	0
k141_8664	26.418604	298.58722
k141_15093	25.780823	229.63014
k141_12959	68.02959	537.7692
k141_19377	1.8010204	36.142857
k141_12961	1	21.90196
k141_8665	0	4.1757574
k141_19378	0	2.1420765
k141_8666	95.25263	272.6316
k141_12962	0	2.3464286
k141_19379	44.424244	106.09091
k141_8667	6.0208335	13.291667
k141_12963	74.453705	760.8426
k141_8668	22.166666	57.03846
k141_12964	0	52.966103
k141_15094	12.774404	59.956615
k141_19380	0	2.4117646
k141_15095	13.057851	216.86777
k141_15097	55.965034	129.46153
k141_19381	936.40265	971.2144
k141_4314	1544.2423	650.08527
k141_15099	4.775281	29.58427
k141_19383	0	2.5992646
k141_15100	7.3728814	32.898304
k141_4316	130.82759	647.3862
k141_19384	0	2.3019607
k141_4317	66.75701	522.03735
k141_15101	7.678571	104.02551
k141_19385	49.91195	128.25786
k141_15102	10.733334	116
k141_15103	6	27.67213
k141_19386	0	17.287128
k141_4318	313.43628	168.4755
k141_15104	3.8666666	179.7
k141_4319	0	2.3628318
k141_15108	2	580.49506
k141_15109	3.2025316	92.56962
k141_12965	0.9954338	214.8242
k141_17227	184.79216	746.4777
k141_4321	4625.883	8018.3374
k141_17228	82.28302	884.98114
k141_4322	41.881756	326.7939
k141_19388	2013.9906	1140.5104
k141_19389	39.052082	48.239582
k141_4323	46.780823	798.17535
k141_15110	0.54435176	8.956027
k141_15111	0	1.6908213
k141_15112	1.1666666	1
k141_15113	6272.957	10479.559
k141_4325	3764.779	6147.453
k141_15114	273.59665	419.479
k141_4327	2586.8542	4353.7397
k141_4329	47.63964	73.46847
k141_15115	148.89978	621.32294
k141_4331	1.5505618	12.674157
k141_15116	63.946564	430.8855
k141_15117	0	8.5
k141_8669	53.706024	108.170425
k141_27	182.22594	59.224968
k141_4332	0	6.3246756
k141_28	63.7451	614.96075
k141_8670	3.0756972	30.262949
k141_8671	80.40909	329.7159
k141_29	0	3.2790697
k141_4333	134.73903	197.7067
k141_30	117.85207	1214.3136
k141_4334	0.6363636	3.878788
k141_2161	0	21.93066
k141_8672	0	70.031
k141_2162	0	8.473283
k141_8673	0	107.77778
k141_2163	286.37256	75.5098
k141_2164	29.058823	11.45098
k141_34	0.93650794	3.3492064
k141_8674	0.9947917	1.2447916
k141_4335	141.59552	205.16716
k141_2165	0	2.6086957
k141_4336	31.64516	429.7957
k141_36	0.73443985	2.5684648
k141_2166	9.807693	202.03847
k141_37	1	12.62766
k141_4337	47.95982	304.82144
k141_38	0.4152824	8.890366
k141_8676	149.84785	1710.5111
k141_39	1.5350877	27.149122
k141_40	24.14865	139.63963
k141_4339	0	3.8346214
k141_41	53.251907	202.14503
k141_43	96.89202	330.15024
k141_2167	9.460133	24.623478
k141_45	3589.2136	5976.5317
k141_2169	153.85799	255.28995
k141_46	126.27381	216.58333
k141_4341	84.81966	524.61865
k141_47	26.07558	444.41278
k141_4342	42.308334	291.76666
k141_2172	0	4.714286
k141_2173	2.8032787	293.57376
k141_48	0.7012346	20.871605
k141_15118	2.1339252	28.600445
k141_2174	60.005463	112.6612
k141_15119	0	16.78673
k141_49	155.3797	562.7594
k141_15120	0	3.0526316
k141_50	802.2778	90.138885
k141_2175	1107.4546	432.54544
k141_51	24.972221	132.2963
k141_15121	113.97342	971.5714
k141_15123	64.08179	848.9331
k141_53	34.005997	137.27736
k141_15124	3.0977445	11.669173
k141_15125	0	3.2291667
k141_55	0.530303	43.333332
k141_15126	0	2.6334841
k141_56	0	29.790323
k141_15127	90.33871	239.32259
k141_57	171.18518	135.12962
k141_10778	5.1293297	9.022073
k141_58	114.789825	715.15265
k141_10779	37.232143	80.625
k141_59	39.842106	416.1654
k141_10780	47.284916	257.22906
